,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FGA,FG%,3P,3PA,3P%,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,height
15,61.0,0.0,0.0,0.479,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,-0.7,5.3,0.0,0.0,0.0,0.0,0.0,698.0,0.413,0.0,0.0,0.0,698.0,0.413,0.413,203.0,262.0,0.775,0.0,0.0,0.0,149.0,0.0,0.0,229.0,779.0,185.0
22,31.0,0.0,0.0,0.392,0.563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.354,0.0,0.0,0.0,48.0,0.354,0.354,13.0,27.0,0.481,0.0,0.0,0.0,8.0,0.0,0.0,16.0,47.0,190.0
84,64.0,0.0,0.0,0.548,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,1.4,17.9,0.0,0.0,0.0,0.0,0.0,1090.0,0.478,0.0,0.0,0.0,1090.0,0.478,0.478,454.0,623.0,0.729,0.0,0.0,0.0,162.0,0.0,0.0,221.0,1496.0,188.0
88,10.0,0.0,0.0,0.311,0.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,13.0,0.308,0.0,0.0,0.0,13.0,0.308,0.308,2.0,7.0,0.286,0.0,0.0,0.0,1.0,0.0,0.0,17.0,10.0,190.0
89,68.0,0.0,0.0,0.454,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.2,3.6,0.0,0.0,0.0,0.0,0.0,284.0,0.38,0.0,0.0,0.0,284.0,0.38,0.38,112.0,175.0,0.64,0.0,0.0,0.0,89.0,0.0,0.0,136.0,328.0,190.0
100,63.0,0.0,0.0,0.416,0.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,278.0,0.32,0.0,0.0,0.0,278.0,0.32,0.32,118.0,176.0,0.67,0.0,0.0,0.0,48.0,0.0,0.0,122.0,296.0,188.0
101,44.0,0.0,0.0,0.405,0.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.3,1.9,0.0,0.0,0.0,0.0,0.0,209.0,0.311,0.0,0.0,0.0,209.0,0.311,0.311,84.0,125.0,0.672,0.0,0.0,0.0,39.0,0.0,0.0,99.0,214.0,190.0
102,19.0,0.0,0.0,0.448,0.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.6,0.0,0.0,0.0,0.0,0.0,69.0,0.348,0.0,0.0,0.0,69.0,0.348,0.348,34.0,51.0,0.667,0.0,0.0,0.0,9.0,0.0,0.0,23.0,82.0,201.0
118,54.0,0.0,0.0,0.456,0.566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,-0.3,3.8,0.0,0.0,0.0,0.0,0.0,618.0,0.353,0.0,0.0,0.0,618.0,0.353,0.353,268.0,350.0,0.766,0.0,0.0,0.0,90.0,0.0,0.0,201.0,704.0,178.0
132,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,201.0
143,54.0,0.0,0.0,0.341,0.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,3.2,1.4,0.0,0.0,0.0,0.0,0.0,579.0,0.282,0.0,0.0,0.0,579.0,0.282,0.282,122.0,177.0,0.689,0.0,0.0,0.0,141.0,0.0,0.0,260.0,448.0,206.0
144,16.0,0.0,0.0,0.348,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.4,0.1,0.0,0.0,0.0,0.0,0.0,102.0,0.245,0.0,0.0,0.0,102.0,0.245,0.245,35.0,46.0,0.761,0.0,0.0,0.0,24.0,0.0,0.0,54.0,85.0,183.0
145,38.0,0.0,0.0,0.339,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,2.9,1.3,0.0,0.0,0.0,0.0,0.0,477.0,0.289,0.0,0.0,0.0,477.0,0.289,0.289,87.0,131.0,0.664,0.0,0.0,0.0,117.0,0.0,0.0,206.0,363.0,185.0
150,62.0,0.0,0.0,0.313,0.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,1.6,-1.0,0.0,0.0,0.0,0.0,0.0,495.0,0.267,0.0,0.0,0.0,495.0,0.267,0.267,77.0,115.0,0.67,0.0,0.0,0.0,108.0,0.0,0.0,231.0,341.0,208.0
151,2.0,0.0,0.0,0.376,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,8.0,0.375,0.0,0.0,0.0,8.0,0.375,0.375,1.0,3.0,0.333,0.0,0.0,0.0,2.0,0.0,0.0,8.0,7.0,201.0
152,36.0,0.0,0.0,0.316,0.238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,319.0,0.266,0.0,0.0,0.0,319.0,0.266,0.266,53.0,76.0,0.697,0.0,0.0,0.0,64.0,0.0,0.0,149.0,223.0,190.0
153,24.0,0.0,0.0,0.302,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,-0.5,0.0,0.0,0.0,0.0,0.0,168.0,0.262,0.0,0.0,0.0,168.0,0.262,0.262,23.0,36.0,0.639,0.0,0.0,0.0,42.0,0.0,0.0,74.0,111.0,190.0
169,65.0,0.0,0.0,0.361,0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,1.4,0.8,0.0,0.0,0.0,0.0,0.0,321.0,0.277,0.0,0.0,0.0,321.0,0.277,0.277,92.0,120.0,0.767,0.0,0.0,0.0,42.0,0.0,0.0,143.0,270.0,206.0
